Source,Target,Label
1,2,85186762736
3,2,85186758463
3,4,85186758463
2,4,85186758463
5,2,85179509154
6,2,85176018163
6,7,85176018163
6,8,85176018163
2,7,85176018163
2,8,85176018163
7,8,85176018163
9,10,85176010920
9,2,85176010920
10,2,85176010920
9,11,85175988020
9,2,85175988020
11,2,85175988020
12,13,85148042208
12,5,85148042208
12,9,85148042208
12,14,85148042208
12,2,85148042208
13,5,85148042208
13,9,85148042208
13,14,85148042208
13,2,85148042208
5,9,85148042208
5,14,85148042208
5,2,85148042208
9,14,85148042208
9,2,85148042208
14,2,85148042208
15,16,85130294087
15,2,85130294087
15,17,85130294087
16,2,85130294087
16,17,85130294087
2,17,85130294087
2,4,85103262038
2,18,85103262038
2,19,85103262038
4,18,85103262038
4,19,85103262038
18,19,85103262038
20,1,85151329242
20,3,85151329242
20,21,85151329242
20,22,85151329242
20,2,85151329242
1,3,85151329242
1,21,85151329242
1,22,85151329242
1,2,85151329242
3,21,85151329242
3,22,85151329242
3,2,85151329242
21,22,85151329242
21,2,85151329242
22,2,85151329242
23,24,85142717115
23,25,85142717115
23,26,85142717115
23,27,85142717115
23,2,85142717115
24,25,85142717115
24,26,85142717115
24,27,85142717115
24,2,85142717115
25,26,85142717115
25,27,85142717115
25,2,85142717115
26,27,85142717115
26,2,85142717115
27,2,85142717115
28,29,85140788216
28,2,85140788216
29,2,85140788216
30,31,85125403847
30,32,85125403847
30,2,85125403847
31,32,85125403847
31,2,85125403847
32,2,85125403847
33,2,85125286724
29,28,85121646170
29,2,85121646170
28,2,85121646170
30,31,85104854964
30,32,85104854964
30,2,85104854964
31,32,85104854964
31,2,85104854964
32,2,85104854964
2,4,85041005603
2,34,85041005603
2,19,85041005603
4,34,85041005603
4,19,85041005603
34,19,85041005603
2,18,85054935548
2,4,85054935548
2,19,85054935548
18,4,85054935548
18,19,85054935548
4,19,85054935548
35,36,85063135697
35,37,85063135697
35,38,85063135697
35,2,85063135697
35,39,85063135697
35,19,85063135697
35,4,85063135697
36,37,85063135697
36,38,85063135697
36,2,85063135697
36,39,85063135697
36,19,85063135697
36,4,85063135697
37,38,85063135697
37,2,85063135697
37,39,85063135697
37,19,85063135697
37,4,85063135697
38,2,85063135697
38,39,85063135697
38,19,85063135697
38,4,85063135697
2,39,85063135697
2,19,85063135697
2,4,85063135697
39,19,85063135697
39,4,85063135697
19,4,85063135697
40,41,85191756511
40,42,85191756511
40,43,85191756511
40,44,85191756511
41,42,85191756511
41,43,85191756511
41,44,85191756511
42,43,85191756511
42,44,85191756511
43,44,85191756511
45,46,85176002250
45,14,85176002250
45,42,85176002250
46,14,85176002250
46,42,85176002250
14,42,85176002250
24,42,85175953748
43,40,85166781074
43,42,85166781074
40,42,85166781074
47,42,85142473941
47,48,85142473941
47,49,85142473941
42,48,85142473941
42,49,85142473941
48,49,85142473941
44,50,85144200197
44,3,85144200197
44,51,85144200197
44,42,85144200197
50,3,85144200197
50,51,85144200197
50,42,85144200197
3,51,85144200197
3,42,85144200197
51,42,85144200197
40,41,85115863696
40,42,85115863696
40,43,85115863696
41,42,85115863696
41,43,85115863696
42,43,85115863696
40,42,85090602536
40,43,85090602536
42,43,85090602536
52,53,85126818808
52,42,85126818808
52,54,85126818808
52,55,85126818808
52,56,85126818808
52,57,85126818808
53,42,85126818808
53,54,85126818808
53,55,85126818808
53,56,85126818808
53,57,85126818808
42,54,85126818808
42,55,85126818808
42,56,85126818808
42,57,85126818808
54,55,85126818808
54,56,85126818808
54,57,85126818808
55,56,85126818808
55,57,85126818808
56,57,85126818808
58,59,85112606579
58,60,85112606579
58,61,85112606579
