Source,Target,Label,Conteo
3,2,85186758463|85151329242,2
3,4,85186758463,1
2,4,85186758463|85103262038|85041005603|85054935548|85063135697,5
5,2,85179509154|85148042208,2
6,2,85176018163,1
6,7,85176018163,1
6,8,85176018163,1
2,7,85176018163,1
2,8,85176018163,1
7,8,85176018163,1
9,10,85176010920,1
9,2,85176010920|85175988020|85148042208,3
10,2,85176010920,1
9,11,85175988020,1
11,2,85175988020,1
12,13,85148042208,1
12,5,85148042208,1
12,9,85148042208,1
12,14,85148042208,1
12,2,85148042208,1
13,5,85148042208,1
13,9,85148042208|85179765045,2
13,14,85148042208|85179765045,2
13,2,85148042208,1
5,9,85148042208,1
5,14,85148042208,1
9,14,85148042208|85179765045,2
14,2,85148042208,1
15,16,85130294087,1
15,2,85130294087,1
15,17,85130294087,1
16,2,85130294087,1
16,17,85130294087,1
2,17,85130294087,1
2,18,85103262038|85054935548,2
2,19,85103262038|85041005603|85054935548|85063135697,4
4,18,85103262038,1
4,19,85103262038|85041005603|85054935548,3
18,19,85103262038|85054935548,2
20,1,85151329242,1
20,3,85151329242,1
20,21,85151329242,1
20,22,85151329242,1
20,2,85151329242,1
1,3,85151329242,1
1,21,85151329242,1
1,22,85151329242,1
1,2,85151329242,1
3,21,85151329242,1
3,22,85151329242,1
21,22,85151329242,1
21,2,85151329242,1
22,2,85151329242,1
23,24,85142717115,1
23,25,85142717115,1
23,26,85142717115,1
23,27,85142717115,1
23,2,85142717115,1
24,25,85142717115,1
24,26,85142717115,1
24,27,85142717115,1
24,2,85142717115,1
25,26,85142717115,1
25,27,85142717115,1
25,2,85142717115,1
26,27,85142717115,1
26,2,85142717115,1
27,2,85142717115,1
28,29,85140788216,1
28,2,85140788216|85121646170,2
29,2,85140788216|85121646170,2
30,31,85125403847|85104854964,2
30,32,85125403847|85104854964,2
30,2,85125403847|85104854964,2
31,32,85125403847|85104854964,2
31,2,85125403847|85104854964,2
32,2,85125403847|85104854964,2
33,2,85125286724,1
29,28,85121646170,1
2,34,85041005603,1
4,34,85041005603,1
34,19,85041005603,1
18,4,85054935548,1
35,36,85063135697,1
35,37,85063135697,1
35,38,85063135697,1
35,2,85063135697,1
35,39,85063135697,1
35,19,85063135697,1
35,4,85063135697,1
36,37,85063135697,1
36,38,85063135697,1
36,2,85063135697,1
36,39,85063135697,1
36,19,85063135697,1
36,4,85063135697,1
37,38,85063135697,1
37,2,85063135697,1
37,39,85063135697,1
37,19,85063135697,1
37,4,85063135697,1
38,2,85063135697,1
38,39,85063135697,1
38,19,85063135697,1
38,4,85063135697,1
2,39,85063135697,1
39,19,85063135697,1
39,4,85063135697,1
19,4,85063135697,1
40,41,85191756511|85115863696,2
40,42,85191756511|85166781074|85115863696|85090602536|85083089114,5
40,43,85191756511|85115863696|85090602536,3
40,44,85191756511|85083089114,2
41,42,85191756511|85115863696|85094569019,3
41,43,85191756511|85115863696,2
41,44,85191756511,1
42,43,85191756511|85115863696|85090602536,3
42,44,85191756511,1
43,44,85191756511,1
45,46,85176002250,1
45,14,85176002250,1
45,42,85176002250,1
46,14,85176002250|85137367581,2
46,42,85176002250,1
14,42,85176002250,1
24,42,85175953748,1
43,40,85166781074,1
43,42,85166781074|85097268370,2
47,42,85142473941|85094621883|85097268370,3
47,48,85142473941,1
47,49,85142473941,1
42,48,85142473941,1
42,49,85142473941,1
48,49,85142473941,1
44,50,85144200197,1
44,3,85144200197,1
44,51,85144200197,1
44,42,85144200197|85083089114,2
50,3,85144200197,1
50,51,85144200197,1
50,42,85144200197,1
3,51,85144200197,1
3,42,85144200197,1
51,42,85144200197,1
52,53,85126818808,1
52,42,85126818808,1
52,54,85126818808,1
52,55,85126818808,1
52,56,85126818808,1
52,57,85126818808,1
53,42,85126818808,1
53,54,85126818808,1
53,55,85126818808,1
53,56,85126818808,1
53,57,85126818808,1
42,54,85126818808,1
42,55,85126818808,1
42,56,85126818808,1
42,57,85126818808,1
54,55,85126818808,1
54,56,85126818808,1
54,57,85126818808,1
55,56,85126818808,1
55,57,85126818808,1
56,57,85126818808,1
58,59,85112606579,1
58,60,85112606579,1
58,61,85112606579,1
58,62,85112606579,1
58,42,85112606579,1
59,60,85112606579,1
