Id,Label,ID_Scopus_Author
1,"Armijos, A.",57943728000
2,"Cuenca, E.",57200372107
3,"Llumiquinga, J.",58021019600
4,"Sallaberry, A.",24830653800
5,"Román, S.",58102893200
6,"Marin-Calispa, H.",57580687900
7,"Morales-Navarrete, D.",57224571557
8,"Basantes, R.",58684797700
9,"Bermeo, M.",58103023900
10,"Escobar, S.",58685155300
11,"Morocho-Cayamcela, M.E.",57202499664
12,"Castro, R.",57383160600
13,"Ramos, L.",57976270500
14,"Crespo, A.",57876818100
15,"Fadloun, S.",57190390460
16,"Morakeb, Y.",57698123200
17,"Choutri, K.",57194658358
18,"Ienco, D.",25027558600
19,"Poncelet, P.",7005829745
20,"Pijal, W.",57944211900
21,"Lalvay, S.",57361425500
22,"Allauca, S.",57221978643
23,"Quelal, A.",57983459100
24,"Brito, J.",57203207065
25,"Lomas, M.S.",57983926500
26,"Camacho, J.",57982518300
27,"Andrade, A.",57982745800
28,"Noboa, S.",57383818900
29,"Solís, E.",57212004450
30,"Cuenca, V.",57223106589
31,"Urbina, M.",57223107006
32,"Córdova, A.",57223102465
33,"Chuquín, S.",57467597200
34,"Wang, F.Y.",56757753900
35,"Mercadier, Y.",57215955901
36,"Azé, J.",8584012400
37,"Bringay, S.",22033780200
38,"Clavier, V.",25621300600
39,"Paganelli, C.",8239870700
40,"Carrión-Ojeda, D.",57216317307
41,"Martínez-Arias, P.",57219655596
42,"Fonseca-Delgado, R.",57541450600
43,"Pineda, I.",57195584753
44,"Mejía-Vallejo, H.",57215526082
45,"Moncada, C.",58684336400
46,"Crespo, F.",57876249400
47,"Camacho, F.",42661110600
48,"Pino Pérez, R.",57219647517
49,"Tapia, G.",57580783200
50,"Chipantiza, C.",58020067500
51,"Amaro, I.R.",6505827132
52,"Matamoros-Alcivar, E.",57222387436
53,"Ascencio-Lino, T.",57222390649
54,"Villalba-Meneses, G.",57219521008
55,"Tirado-Espin, A.",57219655742
56,"Barona, L.",56192901500
57,"Almeida-Galarraga, D.",57200308316
58,"Moreno-Rodriguez, J.C.",57215429533
59,"Atenco-Vazquez, J.C.",57215412021
60,"Ramirez-Cortes, J.M.",55989706100
61,"Arechiga-Martinez, R.",13805817000
62,"Gomez-Gil, P.",6507090357
63,"Zhunio, C.",57219651478
64,"Castillo, Z.",57219541549
65,"Salum, G.",36519678800
66,"Flores, P.",55953626900
67,"Torres, J.",12240687000
68,"Jiménez-Guarneros, M.",56728626400
69,"Alarcón-Aquino, V.",8368580500
70,"Gomez, P.",56673643400
71,"González, J.A.",35217690900
72,"Olmos, I.",12345301000
73,"Casas, E.",58602846600
74,"Romero, C.",58862796200
75,"Rivas-Echeverria, F.",58601192900
76,"Macancela, C.",58782992600
77,"Chang, O.",36834263900
78,"Román, K.",58684048500
79,"Chancay, S.",58684208700
80,"Sierra-Martínez, L.M.",57219009247
81,"Peluffo-Ordóñez, D.H.",35746975300
82,"Njoku, J.N.",57216622500
83,"Caliwag, A.",57203089014
84,"Xiao, P.",23567387400
85,"Lim, W.",26326390400
86,"Maier, M.",35485001300
87,"Cardenas, K.",58165709800
88,"Figueroa, S.",58166951100
89,"Lucero, V.",57200640605
90,"Dominguez, D.H.S.",57486454000
91,"Sandoval, S.C.Q.",57484999800
92,"Pozo-Ruiz, S.",57485011900
93,"Mayorca-Torres, D.",57211907340
94,"Tulcanaza-Prieto, A.B.",57348933000
95,"Rosero-Montalvo, P.D.",57192274114
96,"Fuentes-Hernández, E.A.",57224956177
97,"Sierra-Martínez, L.M.",36802472400
98,"Lee, H.",55382750600
99,"Park, J.",57216615773
100,"Angsanto, S.R.",57190841143
101,"Kwon, D.",59105287200
102,"Zapotecas-Martínez, S.",16644234600
103,"Armas, R.",56496710900
104,"García-Nájera, A.",8850768400
105,"Morocho-Cayamcela, M.E.",58968212200
106,"Zhinin-Vera, L.",57216323335
107,"Utreras, H.",58684983900
108,"Aguirre, H.",6603898641
109,"Orellana, D.",57204767770
110,"Daolio, F.",35748396600
111,"Tanaka, K.",55430510400
112,"Orellana, J.P.",57192220711
113,"Montenegro, C.",57189242187
114,"Larco, A.",57194055579
115,"Yanez, C.",57200384056
116,"Stolfi, D.",55837901400
117,"Alba, E.",7007101440
118,"Cajamarca, G.",57196051499
119,"Proust, V.",57205606781
120,"Herskovic, V.",18433937300
121,"Cádiz, R.F.",13104854900
122,"Verdezoto, N.",55053598600
123,"Fernández, F.J.",57189843977
124,"Gerea, C.",57028493700
125,"Rodríguez, M.F.",57191271638
126,"Gajardo, R.",57222259441
127,"Rodríguez, I.",56949948800
128,"Lucero, A.",16230372800
129,"Aldunate, A.",57787747100
130,"Rossel, P.O.",8605223500
131,"Campos, M.",17345281500
132,"Riofrío, J.C.",57204190136
133,"Fuentes, C.",55834961500
134,"Rendón-Enríquez, I.",57203582433
135,"Palma-Cando, A.",56193613500
136,"Navas-Cárdenas, C.",57204610734
137,"Ordóñez, P.E.",50162178600
138,"De Lima, L.",7005435981
139,"Hidalgo-Bonilla, S.",26667704700
140,"Oropeza, R.",57861200700
141,"Ricaurte, M.",37108511300
142,"Fernández-Izquierdo, P.",55101938000
143,"Villota-Calvachi, G.E.",58514458900
144,"Otero-Ramírez, I.",58305220200
145,"Quiroz-Cabrera, M.A.",58515361200
146,"Gómez-Arrieta, J.D.",58172457000
147,"Burbano-Rosero, E.M.",26655275400
148,"Romero-Fierro, D.A.",57226272488
149,"Camacho-Cruz, L.A.",57214756448
150,"Bustamante-Torres, M.R.",57226291456
151,"Bucio, E.",55993755500
152,"Bósquez-Cáceres, M.F.",57374334200
153,"Córdova, V.M.",6602635796
154,"Michell, R.M.",38561901200
155,"Tafur, J.P.",56294575100
156,"Pino-Ramos, V.H.",57190854436
157,"Magaña, H.",56412028100
158,"Ibargüen-Mondragón, E.",49863643300
159,"Prieto, K.",57193546270
160,"Pereira, D.L.",57220160851
161,"Silva, M.M.",57213772834
162,"García, R.",59047653500
163,"Raga, G.B.",7003480967
164,"Alvarez-Ospina, H.",57212218812
165,"Carabali, G.",34869168800
166,"Rosas, I.",7003330586
167,"Martinez, L.",16157484600
168,"Salinas, E.",36718936000
169,"Ladino, L.A.",51663627700
170,"Romero-Leiton, J.P.",56033080100
171,"Esteva, L.",7004511202
172,"Cerón Gómez, M.",57209412786
173,"Andino-Enriquez, M.A.",57208709439
174,"Arteaga, R.D.C.",57201151666
175,"Rosero, E.M.B.",57201153368
176,"Ramírez, I.D.O.",57201151353
177,"Roncallo, J.C.",56968164700
178,"Mosquera, S.",56033971500
179,"Cerón, M.",56033551900
180,"Peyrot, R.",55746787900
181,"Jancik, V.",6603651982
182,"Barroso-Flores, J.",56002674800
183,"Reyes-Lezama, M.",6507870080
184,"Moya-Cabrera, M.",6508093448
185,"Alcántara-García, J.",8643624200
186,"Cea-Olivares, R.",7004690561
187,"Toseano, R.A.",7005908342
188,"Kolesnik, S.S.",57263408300
189,"Bogachev, N.A.",57016899000
190,"Kolesnikov, I.E.",55777088200
191,"Orlov, S.N.",57201444729
192,"Ryazantsev, M.N.",25722313700
193,"González, G.",7202571211
194,"Skripkin, M.Y.",6602346507
195,"Mereshchenko, A.S.",36080821700
196,"Ortiz, F.",57745847700
197,"Díaz-Barrios, A.",6602530806
198,"Lopez-Cabaña, Z.E.",54897956000
199,"Guerrero-Almonacid, M.",58405206900
200,"Parigüana, M.",57191408947
201,"Gurumendi, M.",58178974700
202,"López, F.",57191367037
203,"Borrero-González, L.J.",36197925400
204,"Terencio, T.",55968766500
205,"Caetano, M.",7003777604
206,"Reinoso, C.",57203761061
207,"Mina-Villarreal, M.C.",57904269100
208,"Briceño, S.",54784002000
209,"Vizuete, K.",57189729597
210,"Debut, A.",6603163202
211,"León-Valencia, A.",57845070100
212,"Romero, M.A.",56228003300
213,"Sabino, M.A.",6603874984
214,"Noris–suarez, K.",58634239900
215,"Arellano, D.",57215925895
216,"Chacón-Torres, J.C.",55338178900
217,"Pizha, J.",58353319600
218,"Heredia, D.",58354638900
219,"Corredor, L.",56674216400
220,"Bramer, W.",58353319700
221,"Gaona-Torres, S.",58064023400
